 DEPTH      GR        spd       bit       CAL       SPBD      bvol      cvol      tten      rd        rs        rmsl      dt24      CNCF      zden      pe        zcor     
  -14.783  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -14.630  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -14.478  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -14.326  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -14.173  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -14.021  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.868  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.716  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.564  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.411  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.259  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -13.106  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.954  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.802  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.649  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.497  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.344  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.192  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -12.040  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.887  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.735  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.582  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.430  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.278  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -11.125  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -10.973  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -10.820  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -10.668  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
  -10.516  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
