DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
71.628,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.482,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
71.704,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,78.252,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
71.78,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,81.959,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
71.857,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,83.521,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
71.933,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,82.655,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.009,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,79.854,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.085,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.876,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.161,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.211,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.238,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.156,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.314,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,72.469,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.39,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.752,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.466,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,72.337,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.542,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,72.666,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.619,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,72.128,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.695,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70.539,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.771,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,68.927,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.847,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.417,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
72.923,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.067,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.33,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73.076,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.143,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73.152,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.283,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73.228,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.664,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73.304,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.869,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
73.381,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.254,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
